t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.046,-0.275102,0.968243,-0.693141,0.0179406,0.0487983,-0.0667389,-0.642109,-0.276813,0.918921,0.0982364,0.679038,-0.777274,0.116177,0.727836,-0.844013,1.00201,0.992065,0,-0.0805664,0.00646973,0.859619,-0.450195,-0.85022,0.0032959,-0.930786,0.00976562,-0.0057373,0.00366211,-0.00854492,-0.00769043,-0.0136719,0.000854492,0.0262451,-0.0147705,0.0177002,-0.0224609,1.26648
0.048,-0.838261,0.820232,0.0180295,-0.0373164,0.0710446,-0.0337282,-0.771003,-0.113841,0.884844,-0.503246,0.86,-0.356753,-0.540563,0.931044,-0.390482,1.00201,0.993286,0,-0.0828857,0.0113525,0.864258,-0.446899,-0.864624,0.0137939,-0.94751,0.0251465,0.00646973,0.0384521,-0.0147705,-0.00585938,0.0317383,0.0146484,-0.00427246,-0.00964355,-0.019043,-0.0155029,1.26648
0.05,-0.963238,0.27598,0.687258,-0.0653036,0.0365987,0.0287049,-0.852597,0.119832,0.732765,-0.766934,0.534268,0.232665,-0.832237,0.570867,0.26137,1.0032,0.97937,0,-0.057373,-0.0020752,0.796143,-0.382935,-0.806396,-0.0384521,-0.86377,-0.0405273,0.00524902,0.00244141,0.00537109,0.0065918,-0.0164795,-0.0447998,0.0402832,0.022583,0.0456543,0.0291748,1.26648
0.052,-0.542584,-0.451744,0.994328,-0.0495159,-0.0165053,0.0660212,-0.948381,0.306771,0.641611,-0.706613,-0.0258517,0.732465,-0.756129,-0.042357,0.798486,0.999245,0.971558,0,-0.076416,-0.00219727,0.89563,-0.432495,-0.849854,0.00524902,-0.92627,0.00305176,0.00646973,0.0283203,0.0184326,-0.000610352,-0.0343018,0.00170898,0.0203857,0.00537109,0.0388184,0.00476074,1.2666
0.054,0.201945,-0.9482,0.746255,-0.0143524,-0.0581274,0.0724798,-0.983857,0.502098,0.481759,-0.234389,-0.603206,0.837595,-0.248741,-0.661334,0.910075,0.997269,1.01892,0,-0.0671387,0.00354004,0.823853,-0.479126,-0.83728,0.0437012,-0.904419,0.0472412,0.00268555,-0.026001,0.0157471,-0.0057373,-0.0168457,0.0274658,0.0336914,-0.00720215,0.0494385,-0.0129395,1.2666
0.056,0.775773,-0.906572,0.130799,0.0523864,-0.091138,0.0387516,-0.936556,0.62912,0.307436,0.425691,-0.851382,0.425691,0.478078,-0.94252,0.464443,0.99885,0.988281,0,-0.0855713,-0.0128174,0.850342,-0.439331,-0.858154,-0.00952148,-0.943726,-0.0223389,-0.0106201,0.0157471,-0.00695801,0.00012207,0.00634766,0.012085,-0.0111084,-0.0136719,-0.0180664,-0.0135498,1.26648
0.058,0.995245,-0.397011,-0.598234,0.0710446,-0.0631507,-0.00789384,-0.845502,0.696226,0.149276,0.81002,-0.598036,-0.211984,0.881064,-0.661187,-0.219878,0.997269,0.994385,0,-0.0695801,-0.00830078,0.845825,-0.393188,-0.86853,-0.0557861,-0.93811,-0.0640869,0.00561523,0.00170898,0.00170898,0.0155029,-0.0230713,-0.00415039,0.0244141,-0.0322266,0.026123,-0.0167236,1.26648
0.06,0.657654,0.326859,-0.984513,0.0681741,-0.0143524,-0.0538217,-0.774551,0.831637,-0.0570857,0.735912,-0.0430862,-0.692825,0.804086,-0.0574386,-0.746647,0.996874,0.9823,0,-0.0819092,0.000366211,0.86145,-0.365967,-0.829956,-0.060791,-0.911865,-0.0604248,0.00878906,0.0200195,0.00305176,0.0108643,-0.00866699,-0.0170898,-0.012207,0.00280762,-0.00915527,0.0136719,1.2666
0.062,-0.0693471,0.87882,-0.809473,0.0430573,0.0279873,-0.0710446,-0.666942,0.992212,-0.32527,0.380882,0.498076,-0.878958,0.423939,0.526063,-0.950002,1.00241,1.01331,0,-0.0758057,0.0192871,0.795898,-0.521851,-0.830933,0.0802002,-0.906738,0.0994873,0.0175781,-0.0183105,0.00415039,-0.00439453,-0.0462646,0.0571289,0.0599365,-0.0454102,0.0640869,-0.0498047,1.26648
0.064,-0.690422,0.95668,-0.266258,-0.00932909,0.0574098,-0.0480807,-0.499024,0.964651,-0.465627,-0.274028,0.853106,-0.579078,-0.283357,0.910516,-0.627159,1.00715,0.993408,0,-0.067749,0.00549316,0.882202,-0.447021,-0.87854,0.0126953,-0.946289,0.0181885,0.00134277,0.00793457,-0.00402832,-0.0144043,0.0222168,0.0308838,0.00292969,-0.0224609,-0.00109863,-0.0368652,1.2666
