t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
18.512,12.5,0,2279,4.99,1190.9,311.285,1.20984,681.347,681.202,-14.0604,311.748,0.111821,59.4861,59.4564,-1.87783,740.83,740.659,-15.9382,
18.762,12.5,0,2279,4.99,1190.9,317.626,1.23261,687.33,687.151,-15.6907,318.12,0.114782,59.6704,59.6684,-0.485814,746.994,746.819,-16.1765,
19.012,12.5,0,2279,4.99,1190.9,315.428,1.21206,683.148,683.019,-13.2987,315.965,0.113659,59.5591,59.5526,-0.877979,742.707,742.571,-14.1767,
19.262,12.5,0,2279,5.0,1193.28,310.661,1.21096,685.291,685.046,-18.3234,311.176,0.113326,60.4413,60.4265,-1.33732,745.731,745.472,-19.6607,
19.512,12.5,0,2279,5.0,1193.28,320.039,1.23567,685.603,685.441,-14.9421,320.571,0.114604,59.1469,59.1437,-0.608337,744.747,744.584,-15.5504,
19.762,12.5,0,2280,5.0,1193.81,315.956,1.21404,684.394,684.217,-15.566,316.41,0.113832,59.9134,59.9104,-0.604588,744.303,744.127,-16.1705,
20.012,12.5,0,2278,5.03,1199.91,313.067,1.20359,679.59,679.413,-15.5205,313.506,0.111531,59.1715,59.1587,-1.23017,738.761,738.571,-16.7507,
20.262,12.5,0,2280,4.96,1184.25,319.009,1.23287,684.141,683.965,-15.5103,319.49,0.117728,60.008,60.008,-0.0551515,744.136,743.973,-15.5654,
20.512,12.5,0,2280,4.96,1184.25,318.201,1.22604,682.428,682.287,-13.8688,318.68,0.115772,59.1609,59.1609,-0.0279266,741.579,741.448,-13.8967,
20.762,12.5,0,2279,5.0,1193.28,318.998,1.23051,685.229,685.092,-13.6652,319.492,0.115026,59.6261,59.6221,-0.68898,744.853,744.715,-14.3541,
21.012,12.5,0,2280,5.02,1198.58,317.45,1.22826,686.725,686.583,-13.9474,317.956,0.113931,59.5777,59.5716,-0.855798,746.302,746.155,-14.8032,
21.262,12.5,0,2278,5.02,1197.53,315.678,1.21293,683.253,683.139,-12.4537,316.244,0.114599,59.9108,59.898,-1.23755,743.163,743.037,-13.6913,
21.512,12.5,0,2281,5.0,1194.33,318.495,1.22659,681.216,681.06,-14.5372,319.009,0.11837,60.8804,60.8803,-0.130501,742.086,741.941,-14.6677,
21.762,12.5,0,2281,5.04,1203.88,312.602,1.22927,683.728,683.616,-12.3793,313.044,0.11156,57.8529,57.8523,0.267727,741.567,741.469,-12.1116,
22.012,12.5,0,2282,4.98,1190.07,312.511,1.24106,689.61,689.466,-14.0897,312.964,0.112606,58.1117,58.111,0.291501,747.705,747.577,-13.7982,
22.262,12.5,0,2281,5.05,1206.27,312.447,1.23158,684.393,684.27,-12.9446,312.968,0.112661,58.2196,58.2172,0.526017,742.592,742.488,-12.4186,
22.512,12.5,0,2281,4.95,1182.39,312.237,1.22783,685.909,685.774,-13.5866,312.746,0.111313,57.8302,57.8297,0.25388,743.723,743.604,-13.3327,
22.762,12.5,0,2281,4.96,1184.77,310.401,1.21641,685.786,685.682,-11.9287,310.917,0.111699,58.3558,58.3556,0.150305,744.131,744.038,-11.7784,
23.012,12.5,0,2281,5.0,1194.33,313.353,1.23081,684.538,684.4,-13.7674,313.789,0.115372,59.2257,59.2252,0.260908,743.747,743.625,-13.5065,
23.262,12.5,0,2281,4.94,1180.0,318.524,1.23957,685.545,685.332,-17.1133,319.002,0.115278,58.8955,58.8951,0.226951,744.418,744.227,-16.8864,
23.512,12.5,0,2281,4.98,1189.55,317.589,1.2385,683.903,683.748,-14.5439,318.031,0.115622,59.7978,59.7964,0.409163,743.679,743.545,-14.1348,
23.762,12.5,0,2281,4.96,1184.77,318.002,1.23893,685.006,684.827,-15.6694,318.434,0.114757,58.7513,58.75,0.388989,743.734,743.577,-15.2804,
