t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.046,-0.972383,0.557357,0.415026,-0.0595626,0.0552569,0.00430573,0.566427,0.397843,-0.964271,-0.749699,0.742805,0.00689383,-0.809262,0.798062,0.0111996,1.00122,0.958862,0,-0.0736084,0.00695801,0.895142,-0.411011,-0.901367,-0.00561523,-0.974976,0.00134277,0.00341797,-0.0184326,-0.00671387,-0.0136719,-0.0196533,0.019043,0.0263672,-0.0268555,0.0196533,-0.0405273,1.2666
0.048,-0.730049,-0.205829,0.935878,-0.0552569,0.00430573,0.0509512,0.70833,0.238466,-0.946796,-0.823807,0.215431,0.608377,-0.879064,0.219737,0.659328,1.00122,1.01001,0,-0.0576172,0.0032959,0.890259,-0.470459,-0.871338,0.0192871,-0.928955,0.022583,-0.0462646,0.0146484,0.00354004,-0.00170898,-0.00219727,0.0447998,0.0162354,-0.00708008,0.0197754,-0.00878906,1.2666
0.05,-0.13336,-0.780916,0.914276,-0.0200934,-0.0566921,0.0767856,0.754448,0.0599162,-0.814364,-0.41018,-0.475671,0.885851,-0.430274,-0.532363,0.962637,0.99885,0.977173,0,-0.0738525,-0.00793457,0.886597,-0.36731,-0.873535,-0.0673828,-0.947388,-0.0753174,0.0020752,0.0233154,0.013916,0.00744629,0.0186768,-0.010376,0.00158691,0.029541,0.0155029,0.0369873,1.2666
0.052,0.586783,-1.00062,0.413838,0.0165053,-0.085397,0.0688917,0.949564,-0.230078,-0.719486,0.129258,-0.823807,0.694549,0.145764,-0.909204,0.763441,1.00003,1.00598,0,-0.0706787,-0.0113525,0.820801,-0.443359,-0.837524,-0.00134277,-0.908203,-0.0126953,0.00549316,-0.00427246,0.0124512,0.00341797,-0.0422363,0.0430908,0.0362549,-0.0198975,0.0487061,-0.0164795,1.2666
0.054,0.974669,-0.653719,-0.320951,0.0803737,-0.0775032,-0.00287049,0.960207,-0.403835,-0.556372,0.668697,-0.799679,0.130982,0.749071,-0.877182,0.128111,0.997664,0.990723,0,-0.0843506,-0.0170898,0.873413,-0.470703,-0.860229,0.00500488,-0.94458,-0.012085,0.0152588,-0.0045166,0.00427246,0.00158691,-0.00695801,0.0163574,0.0209961,-0.00415039,0.0252686,-0.00256348,1.2666
0.056,0.812351,0.0747768,-0.887128,0.0882675,-0.0430573,-0.0452102,0.962572,-0.548832,-0.413739,0.858276,-0.332625,-0.525651,0.946544,-0.375682,-0.570861,0.997664,1.01147,0,-0.0799561,0.000976562,0.834961,-0.457764,-0.865967,0.0333252,-0.945923,0.0343018,-0.0341797,0.0020752,-0.00512695,0.00671387,-0.0153809,-0.00756836,0.00756836,-0.026001,0.00244141,-0.0192871,1.2666
0.058,0.275864,0.692263,-0.968127,0.0581274,0.011482,-0.0696093,0.909358,-0.668665,-0.240694,0.537715,0.336072,-0.873787,0.595843,0.347554,-0.943397,1.0032,0.991943,0,-0.076416,0.0111084,0.862183,-0.405273,-0.880371,-0.0297852,-0.956787,-0.0186768,-0.00280762,0.0216064,-0.00720215,-0.00537109,-0.00305176,-0.0131836,0.0252686,0.0078125,0.0180664,0.00244141,1.2666
0.06,-0.451899,0.989058,-0.537159,0.0121996,0.0509512,-0.0631507,0.840772,-0.787299,-0.0534734,-0.0517034,0.784168,-0.732465,-0.0395038,0.835119,-0.795615,1.00359,0.97644,0,-0.0804443,0.00476074,0.854492,-0.412598,-0.885864,-0.0255127,-0.966309,-0.020752,-0.00891113,0.0152588,-0.0115967,-0.00805664,0.00146484,0.00634766,-0.0032959,-0.00463867,-0.0148926,-0.0126953,1.2666
0.062,-0.93047,0.711536,0.218934,-0.0409045,0.0660212,-0.0251168,0.681132,-0.933494,0.252362,-0.513587,0.808296,-0.294709,-0.554491,0.874317,-0.319826,1.00201,1.01392,0,-0.067627,0.0167236,0.731323,-0.49707,-0.793579,0.0698242,-0.861206,0.0865479,0.0319824,0.0407715,-0.00354004,0.00390625,-0.0529785,-0.0767822,0.0505371,0.0297852,0.0469971,0.0336914,1.26648
0.064,-0.880936,0.0716932,0.809243,-0.0710446,0.0222463,0.0487983,0.60545,-1.00659,0.401141,-0.818637,0.425691,0.392946,-0.889682,0.447937,0.441744,1.00043,0.979736,0,-0.0718994,-0.00842285,0.870728,-0.468018,-0.853638,0.045166,-0.925537,0.0367432,-0.00964355,0.00231934,0.0111084,-0.00231934,-0.0249023,0.0411377,0.0350342,-0.0281982,0.0461426,-0.0305176,1.2666
